termstart,age
1/14/1975,51.304761905
1/3/2001,54.716635860
1/4/1965,52.236996337
1/3/2013,57.583210332
1/3/1985,51.054059041
1/4/1977,50.495446266
1/7/1959,53.205626134
1/15/1979,50.043357934
1/3/1961,53.611490126
1/5/1993,52.978062157
1/3/1951,53.256057866
1/5/1981,49.474907749
1/3/1947,52.539602170
1/7/1997,53.078821363
1/4/1995,52.686556169
1/6/1999,54.156133829
1/9/1963,53.065209472
1/3/1973,52.403113553
1/5/2011,57.595963303
1/3/1953,53.183212996
1/3/1983,50.070404412
1/5/1955,53.416081331
1/4/2007,57.286861314
1/6/2009,57.795117541
1/4/2005,56.470686456
1/3/1989,52.690659341
1/3/1991,53.822893773
1/6/1987,51.855147059
1/3/1957,54.184615385
1/3/1949,52.713357401
1/3/1969,52.689292196
1/21/1971,53.141467890
1/10/1967,52.462292052
1/7/2003,55.403724395
